Feature,RMSE,R2 Score
loudness,19.790236969651488,0.007326580759624113
acousticness,19.784836067556057,0.003420216613801319
speechiness,19.718251124572404,0.013538820603168356
liveness,19.700377160294583,0.004671909351695036
duration,19.697234408678188,0.009820883944443137
tempo,19.670410895907192,0.0069119936055044295
valence,19.641020842183817,0.05694944690087911
energy,19.481965207662704,0.0029333507035228523
danceability,19.48093298655797,0.0003630184883558485
instrumentalness,19.254369580442695,7.804924135801361e-05
