Feature,RMSE,R2 Score
duration,19.706956895201003,0.004735910707175273
tempo,19.682383467788323,0.008894453556519855
speechiness,19.679000250804673,0.015093150389231424
acousticness,19.664246114745765,0.004169731902011531
valence,19.64286713216692,0.007787953954556337
energy,19.628345490909336,0.007826178235542214
liveness,19.551867109551278,0.05542826551535984
danceability,19.547572020599123,0.004023926316721771
loudness,19.521525133523763,-0.00023636412071992297
instrumentalness,19.15148073000937,0.0009027639882885907
